路線,路線名稱,站序,中文站點名稱,經度,緯度,去回,英文站點名稱
131,北屯區行政大樓  - 朝陽科技大學,1,北屯區行政大樓,120.68619,24.18203,去程,Beitun District Admin. Building
131,北屯區行政大樓  - 朝陽科技大學,2,崇德六路口,120.686075,24.180863,去程,Chongde 6th Rd.
131,北屯區行政大樓  - 朝陽科技大學,3,崇德五路口,120.685845,24.178725,去程,Chongde 5th Rd.
131,北屯區行政大樓  - 朝陽科技大學,4,崇德一路口,120.6858567,24.17674333,去程,Chongde 1st Rd.
131,北屯區行政大樓  - 朝陽科技大學,5,崇德國中(民俗公園),120.6855977,24.17522973,去程,Chongde J. H. S.(Minsu Park)
131,北屯區行政大樓  - 朝陽科技大學,6,崇德瀋陽路口,120.6854796,24.1731449,去程,Chongde-Shenyang Intersection
131,北屯區行政大樓  - 朝陽科技大學,7,崇德文心路口,120.685443,24.171953,去程,Chongde-Wenxin Intersection
131,北屯區行政大樓  - 朝陽科技大學,8,崇德北平路口,120.685407,24.170797,去程,Chongde-Beiping Intersection
131,北屯區行政大樓  - 朝陽科技大學,9,崇德青島路口,120.685247,24.16863,去程,Chongde-Qingdao Intersection
131,北屯區行政大樓  - 朝陽科技大學,10,崇德橋,120.685192,24.16613,去程,Chongde Bridge
131,北屯區行政大樓  - 朝陽科技大學,11,進化北永興街口,120.682958,24.163092,去程,Jinhua N.-Yongxing Intersection
131,北屯區行政大樓  - 朝陽科技大學,12,學士德化街口,120.680958,24.161383,去程,Xueshi-Dehua Intersection
131,北屯區行政大樓  - 朝陽科技大學,13,學士健行路口,120.680847,24.159273,去程,Xueshi-Jianxing Intersection
131,北屯區行政大樓  - 朝陽科技大學,14,中國醫藥大學,120.68133,24.156868,去程,China Medical U.
131,北屯區行政大樓  - 朝陽科技大學,15,五權國中,120.679688,24.155755,去程,Wuquan J.H.S.
131,北屯區行政大樓  - 朝陽科技大學,16,文莊里,120.677375,24.154332,去程,Wenzhuang Village
131,北屯區行政大樓  - 朝陽科技大學,17,臺中二中,120.677398,24.152335,去程,Taichung 2nd H.S.
131,北屯區行政大樓  - 朝陽科技大學,18,光大里,120.67864,24.15177,去程,Guangda Village
131,北屯區行政大樓  - 朝陽科技大學,19,五常里,120.68025,24.15236,去程,Wuchang Village
131,北屯區行政大樓  - 朝陽科技大學,20,五權學士路口,120.68389,24.15388,去程,Wuquan-Xueshi Rd. Intersection
131,北屯區行政大樓  - 朝陽科技大學,21,莒光新城,120.687791,24.154135,去程,Juguang Community
131,北屯區行政大樓  - 朝陽科技大學,22,臺灣體大體育場,120.688857,24.152328,去程,Sports U. Stadium
131,北屯區行政大樓  - 朝陽科技大學,23,臺中一中,120.687423,24.148965,去程,Taichung 1st H.S.
131,北屯區行政大樓  - 朝陽科技大學,24,臺灣體大游泳池,120.686242,24.146603,去程,Sports U. Swimming Pool
131,北屯區行政大樓  - 朝陽科技大學,25,臺中公園(雙十路),120.686059,24.1441592,去程,Taichung Park (Shuangshi Rd.)
131,北屯區行政大樓  - 朝陽科技大學,26,干城站,120.6857586,24.14086963,去程,Gancheng Station
131,北屯區行政大樓  - 朝陽科技大學,27,臺中火車站,120.68301,24.136313,去程,Taichung Railway Station
131,北屯區行政大樓  - 朝陽科技大學,28,第三市場,120.68354,24.133007,去程,The Third Market
131,北屯區行政大樓  - 朝陽科技大學,29,臺中國小,120.685017,24.130257,去程,Taichung  El. School
131,北屯區行政大樓  - 朝陽科技大學,30,興大附農(臺中路),120.684645,24.128025,去程,Taichung Agri. H.S. (Taichung Rd.)
131,北屯區行政大樓  - 朝陽科技大學,31,南門仔,120.684042,24.12544863,去程,Nanmenzi
131,北屯區行政大樓  - 朝陽科技大學,32,明德高中(臺中路),120.6842995,24.12292234,去程,Mingder Senior High School(Taichung Rd.)
131,北屯區行政大樓  - 朝陽科技大學,33,南門橋頭,120.68664,24.121198,去程,Nanmen Qiaotou
131,北屯區行政大樓  - 朝陽科技大學,34,菸葉廠,120.689572,24.11794,去程,Tobacco Factory
131,北屯區行政大樓  - 朝陽科技大學,35,菩提醫院,120.689579,24.115084,去程,Puti Hospital
131,北屯區行政大樓  - 朝陽科技大學,36,中興內新街口,120.689736,24.114082,去程,Zhongxing-Neixin Intersection
131,北屯區行政大樓  - 朝陽科技大學,37,省農會,120.689857,24.112755,去程,Provincial Farmers` Association
131,北屯區行政大樓  - 朝陽科技大學,38,內新市場,120.689931,24.11107,去程,Neixin Market
131,北屯區行政大樓  - 朝陽科技大學,39,中興大里路口,120.6900287,24.10862538,去程,Zhongxue-Dali Intersection
131,北屯區行政大樓  - 朝陽科技大學,40,立人高中,120.689406,24.105839,去程,Lizen Senior High School
131,北屯區行政大樓  - 朝陽科技大學,41,下內新,120.688637,24.102568,去程,Xianeixin
131,北屯區行政大樓  - 朝陽科技大學,42,兒童藝術館(中興路),120.6879,24.10002,去程,Taichung English & Art Museum
131,北屯區行政大樓  - 朝陽科技大學,43,大突寮(中興路),120.686942,24.097347,去程,Datuliao (Zhongxing Rd.)
131,北屯區行政大樓  - 朝陽科技大學,44,中興仁化路口,120.69146,24.09192,去程,Zhongxing-Renhua Intersection
131,北屯區行政大樓  - 朝陽科技大學,45,塗城中興路口,120.693648,24.090838,去程,Tucheng-Zhongxing Intersection
131,北屯區行政大樓  - 朝陽科技大學,46,塗城市場,120.695322,24.091132,去程,Tucheng Market
131,北屯區行政大樓  - 朝陽科技大學,47,成功社區,120.69716,24.090386,去程,Chenggong Community
131,北屯區行政大樓  - 朝陽科技大學,48,泰興社區,120.69929,24.089225,去程,Taixing Community
131,北屯區行政大樓  - 朝陽科技大學,49,塗城龍城街口,120.701204,24.088749,去程,Tucheng-Longcheng  Intersection
131,北屯區行政大樓  - 朝陽科技大學,50,下塗城,120.702762,24.088182,去程,Xiatucheng
131,北屯區行政大樓  - 朝陽科技大學,51,竹圍(塗城路),120.705035,24.087822,去程,Zhuwei (Tucheng Rd.)
131,北屯區行政大樓  - 朝陽科技大學,52,統一化學,120.707872,24.086985,去程,Tongyi Huaxue
131,北屯區行政大樓  - 朝陽科技大學,53,十全藥局,120.70997,24.086363,去程,Cheng Pharmacy
131,北屯區行政大樓  - 朝陽科技大學,54,頂塗城,120.712313,24.08601,去程,Dingtucheng
131,北屯區行政大樓  - 朝陽科技大學,55,大庄,120.71531,24.086125,去程,Dazhuang
131,北屯區行政大樓  - 朝陽科技大學,56,靶場,120.71951,24.086199,去程,Bachang
131,北屯區行政大樓  - 朝陽科技大學,57,銀聯一村,120.729577,24.08783,去程,Yinlian 1st Village
131,北屯區行政大樓  - 朝陽科技大學,58,吉峰國小,120.718405,24.079662,去程,Gi-Fon Elementary School
131,北屯區行政大樓  - 朝陽科技大學,59,交叉點,120.717042,24.077641,去程,Intersection
131,北屯區行政大樓  - 朝陽科技大學,60,吉峰里,120.7149303,24.07615751,去程,Jifeng Village
131,北屯區行政大樓  - 朝陽科技大學,61,吉峰東路口,120.714578,24.075047,去程,Jifeng E. Rd.
131,北屯區行政大樓  - 朝陽科技大學,62,吉峰東自強路口,120.715046,24.073747,去程,Jifeng E. -Ziqiang Intersection
131,北屯區行政大樓  - 朝陽科技大學,63,朝陽科技大學,120.715612,24.069975,去程,Chaoyang University of Technology
131,北屯區行政大樓  - 朝陽科技大學,1,朝陽科技大學,120.715515,24.070408,回程,Chaoyang University of Technology
131,北屯區行政大樓  - 朝陽科技大學,2,吉峰東自強路口,120.715164,24.074051,回程,Jifeng E. -Ziqiang Intersection
131,北屯區行政大樓  - 朝陽科技大學,3,吉峰東路口,120.714578,24.075047,回程,Jifeng E. Rd.
131,北屯區行政大樓  - 朝陽科技大學,4,吉峰里,120.7149303,24.07615751,回程,Jifeng Village
131,北屯區行政大樓  - 朝陽科技大學,5,交叉點,120.717042,24.077641,回程,Intersection
131,北屯區行政大樓  - 朝陽科技大學,6,吉峰國小,120.718405,24.079662,回程,Gi-Fon Elementary School
131,北屯區行政大樓  - 朝陽科技大學,7,銀聯一村,120.729577,24.08783,回程,Yinlian 1st Village
131,北屯區行政大樓  - 朝陽科技大學,8,靶場,120.71951,24.086199,回程,Bachang
131,北屯區行政大樓  - 朝陽科技大學,9,大庄,120.71531,24.086125,回程,Dazhuang
